Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-885.171	68.99768	-766.24304	-930.52844	1000.0	1.0836947	0.8815468	5.0164504	-1.0537653	4000	1.15484e-07	7363.1133	-0.032393742	-837.3939	0.9189396	0.0153486915	0.22225	32.0	0.9873669147491455
1	-959.48627	70.58319	-874.0547	-1070.3811	1000.0	-4.3322268	2.2659805	-0.39770305	-15.775457	8000	1.6391277e-07	7479.58	-0.013066772	-1484.8015	0.9174515	0.015415472	0.17425	8.0	1.6932876110076904
2	-941.1725	84.39855	-802.599	-1026.2684	1000.0	-13.648217	6.4990864	-0.48644042	-43.751484	12000	-1.3411045e-07	5732.4043	-0.03793538	-1741.6648	0.9160384	0.012870781	0.224	79.0	2.665396213531494
3	-974.77185	47.003822	-924.25214	-1040.6165	1000.0	-27.89862	12.498706	-2.2859194	-85.185646	16000	-5.029142e-08	4713.9805	-0.029455058	-1834.3137	0.9069809	0.015167272	0.18724999	33.0	3.415790319442749
4	-841.4533	35.093334	-806.16327	-899.2755	1000.0	-47.363182	18.99551	-3.372175	-145.31177	20000	-3.7252903e-08	1938.877	-0.032943167	-766.5556	0.8997023	0.015065573	0.2015	43.0	4.278939485549927
5	-889.484	113.69184	-741.72614	-1061.0422	1000.0	-60.49295	22.185286	-4.936434	-157.65494	24000	2.2351742e-08	1807.907	-0.038054302	-463.04523	0.8990338	0.011923364	0.21249999	79.0	5.23347544670105
6	-823.0936	23.897207	-788.94226	-856.5185	1000.0	-70.50792	22.036339	-5.640472	-151.76982	28000	0.0	661.40906	-0.03845554	-84.21077	0.8885613	0.013417134	0.21125	79.0	6.213873386383057
7	-846.40326	20.563534	-822.4569	-874.58606	1000.0	-82.49486	22.150734	-7.1822286	-169.36497	32000	-3.7252903e-09	569.9453	-0.041204803	-36.413986	0.88236386	0.0143881515	0.234	79.0	7.270098686218262
8	-739.7723	79.98753	-613.985	-836.30927	1000.0	-72.7633	20.137732	-6.389417	-150.34756	36000	7.450581e-09	803.89325	-0.03832438	-38.083893	0.8714881	0.0068758107	0.204	79.0	8.24137282371521
9	-846.3613	76.17028	-720.9166	-924.87244	1000.0	-73.5718	18.822454	-6.0756993	-136.43134	40000	7.450581e-09	947.70605	-0.038474526	-42.68283	0.86584735	0.007989711	0.20199999	79.0	9.262306928634644
