Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-399.9804	33.214645	-349.2041	-440.33487	1000.0	0.07157471	0.49586406	1.46569	-1.3062662	4000	-9.685755e-08	1489.9861	-0.03339962	-68.858185	0.9189396	0.015087996	0.169	48.0	0.902172327041626
1	-389.63934	42.21016	-341.19943	-454.30676	1000.0	-0.8080827	0.63027227	1.2709757	-2.2969246	8000	-1.4901161e-08	1391.0111	-0.03752789	-183.43619	0.91350824	0.0150465425	0.214	60.0	1.8332529067993164
2	-463.65106	48.14094	-406.37704	-539.7883	1000.0	-3.8553429	1.5502983	0.695947	-6.261256	12000	-8.940697e-08	1778.1451	-0.030864378	-279.98334	0.9060535	0.01501809	0.1655	40.0	2.6756770610809326
3	-472.7491	45.009415	-414.7929	-525.5085	1000.0	-7.4504933	2.6729503	2.7927382	-10.629651	16000	8.940697e-08	1730.2047	-0.040891558	-271.4254	0.9049633	0.014476072	0.23375	79.0	3.7203145027160645
4	-430.09778	50.18089	-344.1899	-469.20987	1000.0	-12.615209	2.7025354	3.229617	-15.055351	20000	6.7055225e-08	866.28235	-0.03917528	-187.05872	0.8977168	0.015049782	0.22625001	64.0	4.768346786499023
5	-431.3899	58.458935	-392.0999	-532.4694	1000.0	-13.713299	4.0965023	3.7286599	-18.571953	24000	-1.4901161e-08	957.8446	-0.032680135	-169.33278	0.89014274	0.0150104	0.184	46.0	5.610379219055176
6	-454.46832	12.085634	-441.3704	-472.41794	1000.0	-13.24173	9.10981	18.353695	-21.54309	28000	9.313226e-09	1094.6792	-0.03672578	-246.17433	0.88317084	0.015076398	0.206	60.0	6.557070732116699
7	-418.0841	12.84533	-396.36737	-429.3943	1000.0	-20.13738	5.6340995	10.37886	-24.026875	32000	7.4505806e-08	490.8363	-0.016928028	-98.39669	0.8722826	0.0153593775	0.20475	13.0	7.307099342346191
8	-350.76508	9.814217	-337.59644	-365.2857	1000.0	-25.150745	2.3958616	-4.0658174	-26.512358	36000	3.1664968e-08	174.26378	-0.03666949	-28.032732	0.87269515	0.015010525	0.21575001	55.0	8.265841960906982
9	-352.78143	50.307823	-267.2487	-396.7146	1000.0	-24.074142	4.041878	-2.1461842	-28.039751	40000	1.4901161e-08	273.52637	-0.013357624	-34.105854	0.86375254	0.015001265	0.15025	11.0	9.027462720870972
