Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-222.42903	73.244484	-122.10086	-295.06772	1000.0	0.6267947	0.4062274	2.4796758	-0.45849973	4000	0.0	685.1769	-0.068445176	-435.61676	0.9189396	0.012763008	0.265	79.0	1.7006144523620605
1	-152.82263	25.203482	-119.92353	-186.49988	1000.0	-20.827316	6.3466277	-1.8727981	-49.754482	8000	4.284084e-08	158.76727	-0.067504294	-41.090675	0.91236997	-0.002944581	0.25449997	79.0	3.381502628326416
2	-198.822	25.194464	-169.72084	-238.1049	1000.0	-15.249613	4.3405023	-1.4672638	-32.799187	12000	-5.5879354e-09	191.93088	-0.07020565	-18.485197	0.89719206	-0.0030005788	0.2735	79.0	5.015487432479858
3	-231.55945	59.997272	-129.68407	-283.46783	1000.0	-19.325714	5.150007	-2.257199	-38.84819	16000	-2.2351742e-08	175.16022	-0.072442524	-13.255219	0.88776237	0.002193285	0.29175	79.0	6.660077333450317
4	-207.1624	43.74784	-165.97192	-273.97128	1000.0	-19.825377	4.8997574	-3.807546	-38.601673	20000	-7.450581e-09	139.23979	-0.07352544	-9.80637	0.87784976	-0.0064307973	0.27	79.0	8.286172151565552
5	-217.65277	45.94984	-174.70338	-293.67474	1000.0	-21.018158	4.802452	-4.1411586	-37.15374	24000	0.0	116.57028	-0.077496566	-7.804653	0.8620697	-0.0028617908	0.31575	79.0	9.961484670639038
6	-175.28604	24.8856	-145.34843	-202.78532	1000.0	-23.277983	6.7871447	-5.7111607	-61.539616	28000	-3.7252903e-09	125.87143	-0.07447922	-43.852455	0.8487486	0.005192438	0.28875	79.0	11.615319013595581
7	-223.73463	44.83586	-182.86397	-298.88083	1000.0	-18.85251	8.236247	-4.350335	-54.827114	32000	1.21071935e-08	85.32546	-0.0766299	-12.184296	0.83175665	0.01233982	0.32375	79.0	13.305038452148438
8	-113.78058	38.735878	-81.760635	-179.45337	1000.0	-19.342363	3.416507	-5.533712	-33.207527	36000	2.9802322e-08	120.69753	-0.07448865	-49.709705	0.817698	0.0046459064	0.2995	79.0	14.945724248886108
9	-141.58502	36.98363	-86.29541	-175.51283	1000.0	-12.288703	2.3317444	-3.9458532	-21.902784	40000	7.450581e-09	66.29873	-0.0765259	-2.0552835	0.80518556	0.0081954645	0.32025	79.0	16.654731035232544
