Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-304.15906	30.76349	-267.53577	-340.8028	1000.0	0.0139964735	0.27866468	0.8556398	-0.8207732	4000	-4.0978193e-08	1048.7539	-0.053643063	-349.5315	0.9189396	0.015009571	0.2435	73.0	1.7201695442199707
1	-263.13525	55.28673	-186.9174	-324.78372	1000.0	-7.2662244	1.2364448	-0.99559844	-9.437596	8000	4.8428774e-08	560.3545	-0.056610107	-219.13171	0.909687	0.012989614	0.2515	79.0	3.522817373275757
2	-227.14749	82.54605	-125.85909	-313.99673	1000.0	-15.607307	0.51851875	-6.907152	-15.88871	12000	0.0	243.59506	-0.0126798	-36.684326	0.90484643	0.01543265	0.24375	6.0	4.616815805435181
3	-279.09647	164.89523	-128.35849	-556.7814	1000.0	-18.563238	1.237898	7.4027963	-19.0894	16000	2.9802322e-08	404.16254	-0.013594832	-46.30109	0.9044818	0.015327333	0.19075	8.0	5.794122934341431
4	-250.44626	48.196728	-171.94882	-296.49554	1000.0	-21.314968	3.1410208	15.451263	-22.508656	20000	-1.1175871e-08	204.48654	-0.04339575	-25.02762	0.9043322	0.01502379	0.20199999	43.0	7.309433937072754
5	-303.68872	38.513294	-262.80533	-367.00452	1000.0	-24.305965	1.3750054	3.2297177	-24.748413	24000	7.450581e-09	143.24866	-0.011961178	-27.865557	0.89844215	0.015129188	0.19725	7.0	8.397026300430298
6	-199.12305	32.034386	-165.201	-248.71579	1000.0	-27.117556	1.8759488	1.0965219	-27.766275	28000	0.0	218.21313	-0.028218675	-61.260487	0.89787275	0.015243411	0.13675	20.0	9.556359052658081
7	-276.57788	33.610714	-229.97966	-318.79175	1000.0	-23.814081	4.080003	10.47598	-26.176146	32000	2.9802322e-08	85.69354	-0.011648623	-18.557236	0.8952454	0.016333936	0.21474999	6.0	10.683406829833984
8	-262.0155	39.128838	-195.49718	-296.10443	1000.0	-24.971283	4.7901545	16.070742	-27.853891	36000	0.0	76.84804	-0.009272069	-14.838563	0.8942991	0.015090309	0.21425	6.0	11.826403379440308
9	-210.93884	34.037277	-153.29953	-240.02637	1000.0	-23.126987	4.224211	-1.7499956	-29.057701	40000	-7.450581e-09	102.81428	-0.009615324	-18.979177	0.8929504	0.017461479	0.202	6.0	12.909647226333618
