Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1418.2413	67.90415	-1344.6993	-1495.2528	1000.0	0.022652263	1.0243727	2.755897	-2.2705579	4000	-5.5879354e-08	17962.508	-0.020823676	-1818.6958	5.4897327	0.04124135	0.229	2.0	2.9192585945129395
1	-1169.679	53.49543	-1113.7538	-1223.322	1000.0	-6.1880155	4.720384	12.340424	-15.102707	8000	1.4901161e-08	11148.057	-0.014359675	-2927.4128	5.502448	0.035170253	0.22	3.0	4.944332838058472
2	-1016.57574	113.24354	-843.1611	-1125.9271	1000.0	-21.910868	4.526815	21.25131	-24.124105	12000	6.7055225e-08	5781.289	-0.0120936055	-1041.3207	5.5129395	0.025234116	0.14975	4.0	7.0537004470825195
3	-754.62256	34.80214	-709.3469	-792.9895	1000.0	-29.771828	1.7275327	4.632623	-30.324575	16000	-5.5879354e-08	1890.0767	-0.016494177	-299.29172	5.539163	0.02139369	0.14525001	5.0	8.94573712348938
4	-852.17346	72.76745	-737.9763	-940.3839	1000.0	-33.89448	0.5711527	-16.074394	-34.08267	20000	-1.0617077e-07	2931.3418	-0.021008698	-380.85974	5.5365443	0.015973948	0.1275	8.0	11.138558387756348
5	-720.1282	55.066063	-658.1387	-805.9837	1000.0	-38.366264	0.24120198	-28.856348	-38.42728	24000	-8.1025064e-08	1373.2253	-0.015908955	-139.37114	5.5225954	0.02604009	0.14400001	5.0	13.168932676315308
6	-590.35913	28.967875	-550.37555	-628.52277	1000.0	-41.212868	0.26848313	-34.76973	-41.292484	28000	-1.1175871e-08	523.7063	-0.019003298	-40.217407	5.468154	0.023341563	0.17074999	5.0	15.152804851531982
7	-555.2698	20.33687	-520.20465	-569.84894	1000.0	-42.814747	0.2891909	-37.093212	-42.909286	32000	0.0	517.736	-0.015797494	-15.760498	5.488265	0.022772105	0.194	6.0	17.160427808761597
8	-630.0357	83.419044	-547.4299	-757.26575	1000.0	-43.740166	0.7787778	-26.839653	-43.90869	36000	-3.7252903e-09	673.2809	-0.044868596	-47.247887	5.5143614	0.01710053	0.118499994	17.0	19.25785756111145
9	-610.1475	69.6847	-528.5109	-721.16064	1000.0	-45.56653	0.31313115	-38.527943	-45.645447	40000	1.1175871e-08	704.8524	-0.016402036	-26.789165	5.4435163	0.023985405	0.13075	6.0	21.29254174232483
10	-525.1518	84.0942	-415.0622	-646.93585	1000.0	-46.977226	0.49072483	-33.062035	-47.0882	44000	-1.4901161e-08	516.8443	-0.017615652	-9.739975	5.4673014	0.017261181	0.1155	7.0	23.635234832763672
11	-510.15698	42.237637	-448.77045	-566.4809	1000.0	-46.576607	3.0332499	19.945358	-47.1594	48000	1.4901161e-08	316.36917	-0.020872004	-10.63673	5.415373	0.021777647	0.15975	7.0	25.87536859512329
12	-455.9167	117.49042	-325.72757	-619.0083	1000.0	-46.145107	4.577239	30.983301	-47.37647	52000	1.4901161e-08	480.4513	-0.018061196	-76.33377	5.39967	0.022380533	0.13525	5.0	28.049469470977783
13	-403.31836	79.15892	-322.0028	-534.50104	1000.0	-43.67819	7.386017	25.085989	-47.029358	56000	-7.450581e-09	281.1736	-0.014710855	-71.70345	5.453689	0.028970066	0.17475	5.0	29.978355646133423
14	-421.65695	55.95916	-373.12045	-509.89307	1000.0	-34.458305	11.094873	9.751614	-46.59164	60000	2.6077032e-08	242.04112	-0.015392993	-53.79999	5.4039497	0.022901762	0.12175	4.0	32.07268953323364
15	-426.8833	62.927425	-322.048	-482.0282	1000.0	-42.347015	5.501985	5.671091	-46.5119	64000	7.450581e-09	250.40822	-0.012017277	-51.924187	5.3589725	0.021198645	0.09825	4.0	34.06951141357422
16	-436.99707	48.393364	-366.63406	-484.7629	1000.0	-40.696926	8.505309	12.514063	-46.52866	68000	-7.450581e-09	180.36783	-0.019458648	-21.18008	5.4204397	0.025822943	0.18275	5.0	35.99876523017883
17	-414.97513	7.8067994	-406.39435	-425.84384	1000.0	-35.218006	9.587188	9.259665	-46.195217	72000	1.4901161e-08	284.32016	-0.018231943	-52.29194	5.376707	0.02672413	0.17999999	6.0	38.070741415023804
18	-462.35944	47.765358	-392.08966	-506.442	1000.0	-39.76452	4.334994	4.3798223	-45.935688	76000	-7.450581e-09	210.20515	-0.01820041	-27.68491	5.401348	0.028275978	0.139	5.0	40.103405237197876
19	-390.3037	65.02147	-295.64325	-477.21655	1000.0	-41.563354	2.5668635	-1.6788409	-45.890102	80000	3.7252903e-08	186.31223	-0.01373987	-57.13369	5.425893	0.0262914	0.18325001	5.0	42.14102005958557
20	-373.77695	63.842102	-288.81732	-449.93423	1000.0	-35.887302	5.913991	9.409001	-45.152412	84000	-7.450581e-09	183.21475	-0.017458972	-19.231194	5.3634276	0.023494469	0.157	5.0	44.329230546951294
21	-415.7073	35.01319	-355.72787	-444.0584	1000.0	-31.296335	7.9339657	15.321989	-44.898724	88000	-5.5879354e-09	426.11655	-0.016040135	-139.05243	5.3540707	0.024237134	0.120000005	5.0	46.40749740600586
22	-276.4425	80.04211	-169.59387	-389.68954	1000.0	-35.463375	4.687303	23.979942	-45.31583	92000	3.632158e-08	301.52164	-0.012512699	-125.90111	5.3514247	0.022183131	0.109749995	4.0	48.22007441520691
23	-396.7616	43.742615	-357.87775	-466.17566	1000.0	-29.910688	6.161987	6.528293	-44.016434	96000	-3.1199306e-08	250.38013	-0.012597747	-50.8213	5.4025	0.023454532	0.13000001	5.0	50.34029030799866
24	-307.4497	53.10819	-236.84966	-377.40903	1000.0	-33.755272	4.783375	13.673622	-44.5344	100000	-2.2351742e-08	375.51587	-0.017120764	-53.08226	5.329766	0.023506803	0.125	6.0	52.34025239944458
25	-394.43277	54.431652	-310.13098	-458.7826	1000.0	-31.05593	5.624546	13.59317	-43.998627	104000	-3.3527613e-08	254.80908	-0.020107616	-41.590046	5.334222	0.022376021	0.15525	6.0	54.46982288360596
26	-367.0652	11.684673	-359.64023	-387.27603	1000.0	-36.41561	2.9298344	-1.6199453	-44.593407	108000	1.1641532e-10	126.99031	-0.01821623	-9.936859	5.3269644	0.028456029	0.15650001	5.0	56.60114550590515
27	-332.6905	27.463202	-303.81555	-361.1601	1000.0	-33.293793	5.719658	12.364666	-44.989388	112000	-1.6763806e-08	143.56532	-0.015354648	-32.153667	5.395233	0.030145029	0.17725	5.0	58.598961353302
