Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-304.76926	41.4359	-253.24677	-368.45172	1000.0	0.07731796	0.24948476	0.74683905	-0.6203419	4000	-6.7055225e-08	14.879738	-0.03379694	-8.589159	0.91893864	0.00450847	0.33275	79.0	2.2703511714935303
1	-307.38892	108.051636	-196.23273	-482.9931	1000.0	-2.2523043	1.0064399	1.9757094	-5.172054	8000	1.4901161e-08	8.155418	-0.03533358	-2.9952297	0.9089108	0.00211104	0.3425	79.0	4.481534481048584
2	-363.57205	40.554764	-303.17038	-415.05524	1000.0	-2.9473016	1.762994	4.2658205	-7.399105	12000	1.1175871e-08	7.0439134	-0.03531761	-2.0418491	0.9019361	0.008509995	0.33875	79.0	6.6078314781188965
3	-287.15347	44.434086	-217.79152	-329.8352	1000.0	-2.9036934	2.262203	5.6025476	-8.769256	16000	-6.519258e-09	5.0662775	-0.037148587	-1.2593622	0.89754945	0.00862408	0.35525	79.0	8.619474649429321
4	-283.75452	32.12413	-244.6186	-328.31595	1000.0	-2.6180708	1.7265306	7.0764375	-7.9999895	20000	-1.8626451e-09	3.1021118	-0.03613063	-0.61357665	0.8922095	0.008236125	0.36575	79.0	10.68635630607605
5	-278.6175	92.29783	-177.26314	-381.03207	1000.0	-2.51812	2.2033098	5.6059847	-8.611575	24000	0.0	4.6855392	-0.036699332	-1.1198952	0.8816061	0.0043801703	0.36875	79.0	12.879249334335327
6	-251.24568	57.174847	-160.98787	-317.43018	1000.0	-2.342965	2.6323848	5.604352	-10.078545	28000	-2.7939677e-09	4.595549	-0.03745527	-0.9537327	0.8773088	0.006092579	0.37300003	79.0	15.225600719451904
7	-195.68098	62.69882	-104.47075	-259.45917	1000.0	-2.377038	2.790184	7.3652196	-10.147578	32000	-1.3038516e-08	5.622757	-0.03919123	-2.0357742	0.8704644	0.00525881	0.38450003	79.0	17.320524215698242
8	-228.18108	34.433014	-173.05415	-263.8362	1000.0	-1.9133171	1.7924199	8.1413145	-7.679157	36000	3.7252903e-09	2.7572224	-0.038535625	-0.7700516	0.8650286	0.007684574	0.38875002	79.0	19.520479917526245
9	-173.34488	29.813856	-141.53389	-221.58902	1000.0	-1.764607	2.0908673	6.679001	-9.174631	40000	-2.6077032e-08	3.1840081	-0.037425134	-0.7983352	0.85632145	0.0038641847	0.38375002	79.0	21.632075309753418
10	-161.51112	12.3101425	-141.92345	-174.89668	1000.0	-1.4371396	1.997847	7.218394	-7.814623	44000	1.6763806e-08	3.3690543	-0.038112402	-0.7084365	0.8476976	0.005880323	0.37950003	79.0	23.776899814605713
11	-95.71188	66.63103	-17.228113	-187.75749	1000.0	-1.1916023	2.1714838	7.7502832	-8.492855	48000	-1.8626451e-09	3.22376	-0.038667396	-0.6900992	0.83960724	0.009629741	0.4085	79.0	26.016993045806885
12	-104.05638	36.523746	-51.898296	-155.1912	1000.0	-0.8343113	2.3712611	7.709049	-10.492801	52000	1.3038516e-08	3.5519116	-0.039314426	-0.7417322	0.82874626	0.0050339955	0.387	79.0	28.189199209213257
13	-172.34282	26.73999	-135.8071	-199.77403	1000.0	-1.4119855	2.0246203	8.237517	-8.738788	56000	-3.7252903e-09	2.9075162	-0.03914122	-0.70083755	0.8213903	0.0037189089	0.39450002	79.0	30.379708766937256
