,episode_reward_max,episode_reward_min,AverageEpRet,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,TotalEnvInteracts,done,episodes_total,Epoch,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,,,,,0,8,4000,0,4000,False,0,1,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-27,1642173087,2.6062657833099365,2.6062657833099365,172759,alfabotek,192.168.1.101,2.6062657833099365,0,1,[],[],4698.977,851.249,0.196,20460019.512,1947.384,2054.037,1.585,4000,4000,4000,4000,37.45,25.15,0.2000000029802322,4.999999873689376e-05,28.775614,-0.008232594,28.783438,0.011852723,0.002034229,8.514834,0.0
1,-301.10049046281046,-525.2992101904385,-377.2745531932813,1000.0,8,8,8000,0,8000,False,8,2,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-29,1642173089,2.4386684894561768,5.044934272766113,172759,alfabotek,192.168.1.101,5.044934272766113,0,2,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3655.575,1094.219,0.202,19819510.927,1870.245,2138.757,1.519,8000,8000,8000,8000,36.675,23.3,0.1000000014901161,4.999999873689376e-05,10.526682,-0.018172069,10.544588,-0.24801873,0.0026728907,8.485148,0.0
2,-301.10049046281046,-525.2992101904385,-377.2745531932813,1000.0,0,8,12000,0,12000,False,8,3,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-31,1642173091,2.42934799194336,7.474282264709473,172759,alfabotek,192.168.1.101,7.474282264709473,0,3,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3250.743,1230.488,0.198,20237896.261,1842.903,2170.488,1.498,12000,12000,12000,12000,45.43333333333334,23.3,0.050000000745058,4.999999873689376e-05,13.284796,-0.0117341485,13.296406,-0.3055185,0.00248022,8.453689,0.0
3,-297.4734115860515,-525.2992101904385,-385.41507463869135,1000.0,8,8,16000,0,16000,False,16,4,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-34,1642173094,2.4342496395111084,9.90853190422058,172759,alfabotek,192.168.1.101,9.90853190422058,0,4,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3043.816,1314.14,0.2,19978822.269,1833.506,2181.613,1.486,16000,16000,16000,16000,37.1,23.3,0.025000000372529,4.999999873689376e-05,5.004516,-0.0127655845,5.0172076,-0.24655531,0.0029772292,8.404452,0.0
4,-297.4734115860515,-525.2992101904385,-385.41507463869135,1000.0,0,8,20000,0,20000,False,16,5,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-36,1642173096,2.407681703567505,12.316213607788086,172759,alfabotek,192.168.1.101,12.316213607788086,0,5,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2921.255,1369.275,0.198,20160076.905,1824.616,2192.243,1.485,20000,20000,20000,20000,44.53333333333333,23.3,0.0125000001862645,4.999999873689376e-05,10.774769,-0.017660985,10.792398,-0.2449188,0.0025246325,8.398913,0.0
5,-77.23146146440101,-525.2992101904385,-350.4537817271671,1000.0,8,8,24000,0,24000,False,24,6,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-39,1642173099,2.5099899768829346,14.82620358467102,172759,alfabotek,192.168.1.101,14.82620358467102,0,6,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856, -312.49181920240943, -244.48386330465098, -387.7870411435617, -77.23146146440101, -377.84884560400616, -304.36899502959784, -327.0133256178161, -213.02421586650382]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2828.688,1414.083,0.197,20278665.592,1843.625,2169.639,1.518,24000,24000,24000,24000,34.425,23.3,0.0062500000931322,4.999999873689376e-05,6.4096375,-0.013213726,6.4228325,-0.18413335,0.0029944547,8.3212385,0.0
6,-77.23146146440101,-525.2992101904385,-350.4537817271671,1000.0,0,8,28000,0,28000,False,24,7,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-41,1642173101,2.4308958053588867,17.257099390029907,172759,alfabotek,192.168.1.101,17.257099390029907,0,7,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856, -312.49181920240943, -244.48386330465098, -387.7870411435617, -77.23146146440101, -377.84884560400616, -304.36899502959784, -327.0133256178161, -213.02421586650382]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2792.432,1432.443,0.206,19427710.835,1837.711,2176.621,1.52,28000,28000,28000,28000,45.36666666666667,23.266666666666666,0.0031250000465661,4.999999873689376e-05,12.555842,-0.025390744,12.581224,-0.10475642,0.003094761,8.373387,0.0
7,-77.23146146440101,-525.2992101904385,-352.7395205635404,1000.0,8,8,32000,0,32000,False,32,8,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-44,1642173104,2.435575008392334,19.69267439842224,172759,alfabotek,192.168.1.101,19.69267439842224,0,8,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856, -312.49181920240943, -244.48386330465098, -387.7870411435617, -77.23146146440101, -377.84884560400616, -304.36899502959784, -327.0133256178161, -213.02421586650382, -398.9677231793865, -352.8419219412153, -354.18440275643786, -407.62147924526886, -378.4264242030473, -293.93056214775294, -339.2245382767526, -351.57684483142094]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2746.847,1456.215,0.213,18816448.619,1834.969,2179.873,1.513,32000,32000,32000,32000,36.95,23.2,0.001562500023283,4.999999873689376e-05,6.671386,-0.014690159,6.686071,-0.25241354,0.00316168,8.25122,0.0
8,-77.23146146440101,-525.2992101904385,-352.7395205635404,1000.0,0,8,36000,0,36000,False,32,9,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-46,1642173106,2.424950361251831,22.117624759674072,172759,alfabotek,192.168.1.101,22.117624759674072,0,9,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856, -312.49181920240943, -244.48386330465098, -387.7870411435617, -77.23146146440101, -377.84884560400616, -304.36899502959784, -327.0133256178161, -213.02421586650382, -398.9677231793865, -352.8419219412153, -354.18440275643786, -407.62147924526886, -378.4264242030473, -293.93056214775294, -339.2245382767526, -351.57684483142094]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2711.727,1475.075,0.229,17478289.617,1833.057,2182.148,1.509,36000,36000,36000,36000,43.93333333333333,23.2,0.0007812500116415,4.999999873689376e-05,9.385113,-0.016248275,9.40136,-0.11645486,0.0031825486,8.362899,0.0
9,-77.23146146440101,-525.2992101904385,-358.7192392192918,1000.0,8,8,40000,0,40000,False,40,10,default,1b7a4877a2a74ae098f11e0cfabf817c,2022-01-14_16-11-49,1642173109,2.415789127349853,24.53341388702393,172759,alfabotek,192.168.1.101,24.53341388702393,0,10,"[-301.10049046281046, -337.753069865207, -525.2992101904385, -370.46997287195273, -449.9434611036766, -383.37593443746096, -311.98926506709256, -338.2650215476116, -417.14427535384874, -492.12135970328285, -342.930192862115, -331.108115818914, -434.5892178124332, -297.4734115860515, -445.72963285848795, -387.34856267767856, -312.49181920240943, -244.48386330465098, -387.7870411435617, -77.23146146440101, -377.84884560400616, -304.36899502959784, -327.0133256178161, -213.02421586650382, -398.9677231793865, -352.8419219412153, -354.18440275643786, -407.62147924526886, -378.4264242030473, -293.93056214775294, -339.2245382767526, -351.57684483142094, -521.1392038448878, -463.47812026605095, -362.8683734133385, -319.9876215625699, -280.10296241517864, -305.9331929833716, -361.20364121734957, -446.3917950356347]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2681.649,1491.619,0.229,17498139.341,1832.718,2182.55,1.508,40000,40000,40000,40000,34.65,23.2,0.0003906250058207,4.999999873689376e-05,8.186827,-0.0154911885,8.202316,-0.22890635,0.003042901,8.313073,0.0
